
Sample	Tool	Chr	Start	End	Length
COAD-NH-A8F7-01A	SEQUENZA	chr12	138154	9294751	9156598
COAD-NH-A8F7-01A	SEQUENZA	chr12	9294892	9432811	137920
COAD-NH-A8F7-01A	SEQUENZA	chr12	9433898	25546686	16112789
COAD-NH-A8F7-01A	SEQUENZA	chr17	137637	20458180	20320544
COAD-NH-A8F7-01A	SEQUENZA	chr17	20493761	20969636	475876
COAD-NH-A8F7-01A	SEQUENZA	chr17	20981555	21285143	303589
COAD-NH-A8F7-01A	SEQUENZA	chr17	22062060	22568603	506544
COAD-NH-A8F7-01A	SEQUENZA	chr18	116749	15322429	15205681
COAD-NH-A8F7-01A	SEQUENZA	chr18	20983038	80148225	59165188
COAD-NH-A8F7-01A	SEQUENZA	chr21	5034028	9071438	4037411
COAD-NH-A8F7-01A	SEQUENZA	chr21	13384160	46661699	33277540
