
Sample	Tool	Chr	Start	End	Length
COAD-CM-5862-01A	FACETS	chr1	14646	1675620	1660975
COAD-CM-5862-01A	FACETS	chr1	1738852	16569150	14830299
COAD-CM-5862-01A	FACETS	chr1	16758321	103618160	86859840
COAD-CM-5862-01A	FACETS	chr5	30383	181260730	181230348
COAD-CM-5862-01A	FACETS	chr12	14711	5647750	5633040
COAD-CM-5862-01A	FACETS	chr12	6983491	9437325	2453835
COAD-CM-5862-01A	FACETS	chr12	9598131	14553279	4955149
COAD-CM-5862-01A	FACETS	chr12	14840894	46769315	31928422
COAD-CM-5862-01A	FACETS	chr12	46769461	57967375	11197915
COAD-CM-5862-01A	FACETS	chr12	57967640	133202800	75235161
COAD-CM-5862-01A	FACETS	chr17	1423512	16693065	15269554
COAD-CM-5862-01A	FACETS	chr17	16893371	18424715	1531345
COAD-CM-5862-01A	FACETS	chr17	18580380	20450280	1869901
COAD-CM-5862-01A	FACETS	chr17	20458158	36212590	15754433
COAD-CM-5862-01A	FACETS	chr17	36484031	41265405	4781375
COAD-CM-5862-01A	FACETS	chr17	41275991	83094570	41818580
COAD-CM-5862-01A	FACETS	chr21	10655616	46664335	36008720
