Sample	seqnames	start	end	width	Tool.Result	GS.Result	OL.Ratio
TCGA-4N-A93T-01A	chr3	1	18322	18322	1	0	0.018322
TCGA-4N-A93T-01A	chr3	18323	1000000	981678	1	1	0.981678
TCGA-4N-A93T-01A	chr3	1000001	2000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	2000001	3000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	3000001	4000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	4000001	4645717	645717	1	1	0.645717
TCGA-4N-A93T-01A	chr3	4645718	4656105	10388	0	1	0
TCGA-4N-A93T-01A	chr3	4656106	5000000	343895	1	1	0.343895
TCGA-4N-A93T-01A	chr3	5000001	6000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	6000001	7000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	7000001	8000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	8000001	9000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	9000001	10000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	10000001	11000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	11000001	11864350	864350	1	1	0.86435
TCGA-4N-A93T-01A	chr3	11864351	11881343	16993	0	1	0
TCGA-4N-A93T-01A	chr3	11881344	12000000	118657	1	1	0.118657
TCGA-4N-A93T-01A	chr3	12000001	13000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	13000001	14000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	14000001	14487752	487752	1	1	0.487752
TCGA-4N-A93T-01A	chr3	14487753	14513433	25681	0	1	0
TCGA-4N-A93T-01A	chr3	14513434	15000000	486567	1	1	0.486567
TCGA-4N-A93T-01A	chr3	15000001	16000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	16000001	17000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	17000001	18000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	18000001	19000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	19000001	19933823	933823	1	1	0.933823
TCGA-4N-A93T-01A	chr3	19933824	19976069	42246	0	1	0
TCGA-4N-A93T-01A	chr3	19976070	20000000	23931	1	1	0.023931
TCGA-4N-A93T-01A	chr3	20000001	21000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	21000001	22000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	22000001	23000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	23000001	24000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	24000001	25000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	25000001	26000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	26000001	27000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	27000001	28000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	28000001	29000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	29000001	30000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	30000001	31000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	31000001	31208477	208477	1	1	0.208477
TCGA-4N-A93T-01A	chr3	31208478	31453613	245136	0	1	0
TCGA-4N-A93T-01A	chr3	31453614	32000000	546387	1	1	0.546387
TCGA-4N-A93T-01A	chr3	32000001	33000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	33000001	34000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	34000001	35000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	35000001	36000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	36000001	37000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	37000001	38000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	38000001	38044495	44495	1	1	0.044495
TCGA-4N-A93T-01A	chr3	38044496	38313122	268627	0	1	0
TCGA-4N-A93T-01A	chr3	38313123	39000000	686878	1	1	0.686878
TCGA-4N-A93T-01A	chr3	39000001	40000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	40000001	41000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	41000001	42000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	42000001	43000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	43000001	44000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	44000001	44893615	893615	1	1	0.893615
TCGA-4N-A93T-01A	chr3	44893616	44905415	11800	0	1	0
TCGA-4N-A93T-01A	chr3	44905416	45000000	94585	1	1	0.094585
TCGA-4N-A93T-01A	chr3	45000001	46000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	46000001	47000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	47000001	48000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	48000001	48423052	423052	1	1	0.423052
TCGA-4N-A93T-01A	chr3	48423053	49000000	576948	0	1	0
TCGA-4N-A93T-01A	chr3	49000001	50000000	1000000	0	1	0
TCGA-4N-A93T-01A	chr3	50000001	50314437	314437	0	1	0
TCGA-4N-A93T-01A	chr3	50314438	51000000	685563	1	1	0.685563
TCGA-4N-A93T-01A	chr3	51000001	52000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	52000001	53000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	53000001	54000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	54000001	55000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	55000001	56000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	56000001	57000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	57000001	58000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	58000001	59000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	59000001	60000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	60000001	61000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	61000001	62000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	62000001	63000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	63000001	64000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	64000001	65000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	65000001	66000000	1000000	1	1	1
