Sample	seqnames	start	end	width	Tool.Result	GS.Result	OL.Ratio
TCGA-4N-A93T-01A	chr1	1	14463	14463	0	0	0
TCGA-4N-A93T-01A	chr1	14464	1000000	985537	1	0	0.985537
TCGA-4N-A93T-01A	chr1	1000001	2000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	2000001	3000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	3000001	4000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	4000001	5000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	5000001	6000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	6000001	7000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	7000001	8000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	8000001	9000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	9000001	10000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	10000001	11000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	11000001	12000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	12000001	13000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	13000001	13196925	196925	1	0	0.196925
TCGA-4N-A93T-01A	chr1	13196926	13308146	111221	0	0	0
TCGA-4N-A93T-01A	chr1	13308147	14000000	691854	1	0	0.691854
TCGA-4N-A93T-01A	chr1	14000001	15000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	15000001	16000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	16000001	16055321	55321	1	0	0.055321
TCGA-4N-A93T-01A	chr1	16055322	16055590	269	0	0	0
TCGA-4N-A93T-01A	chr1	16055591	16922005	866415	1	0	0.866415
TCGA-4N-A93T-01A	chr1	16922006	16924340	2335	0	0	0
TCGA-4N-A93T-01A	chr1	16924341	17000000	75660	1	0	0.07566
TCGA-4N-A93T-01A	chr1	17000001	18000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	18000001	19000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	19000001	20000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	20000001	21000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	21000001	22000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	22000001	23000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	23000001	24000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	24000001	25000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	25000001	26000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	26000001	27000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	27000001	28000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	28000001	29000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	29000001	30000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	30000001	31000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	31000001	32000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	32000001	33000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	33000001	34000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	34000001	35000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	35000001	36000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	36000001	37000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	37000001	38000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	38000001	39000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	39000001	40000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	40000001	41000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	41000001	42000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	42000001	43000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	43000001	44000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	44000001	45000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	45000001	46000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	46000001	47000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	47000001	48000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	48000001	49000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	49000001	50000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	50000001	51000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	51000001	52000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	52000001	53000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	53000001	54000000	1000000	1	0	1
TCGA-4N-A93T-01A	chr1	54000001	55000000	1000000	1	0	1
