
Sample	Tool	Chr	Start	End	Length
COAD-AA-3655-01A	SEQUENZA	chr10	47476	4830695	4783220
COAD-AA-3655-01A	SEQUENZA	chr10	4830719	30364473	25533755
COAD-AA-3655-01A	SEQUENZA	chr10	30696141	38601653	7905513
COAD-AA-3655-01A	SEQUENZA	chr10	38603621	38962710	359090
COAD-AA-3655-01A	SEQUENZA	chr10	41859731	42411753	552023
COAD-AA-3655-01A	SEQUENZA	chr10	42411812	46384605	3972794
COAD-AA-3655-01A	SEQUENZA	chr10	46631542	133626718	86995177
COAD-AA-3655-01A	SEQUENZA	chr22	15722253	16433564	711312
COAD-AA-3655-01A	SEQUENZA	chr22	16476562	18511886	2035325
COAD-AA-3655-01A	SEQUENZA	chr22	18858449	21283279	2424831
COAD-AA-3655-01A	SEQUENZA	chr22	21546102	50782510	29236409
