
Sample	Tool	Chr	Start	End	Length
COAD-CM-5862-01A	SEQUENZA	chr1	965125	12883041	11917917
COAD-CM-5862-01A	SEQUENZA	chr1	13390071	16550749	3160679
COAD-CM-5862-01A	SEQUENZA	chr1	16954240	58630700	41676461
COAD-CM-5862-01A	SEQUENZA	chr1	58685269	105891546	47206278
COAD-CM-5862-01A	SEQUENZA	chr3	122695775	123116363	420589
COAD-CM-5862-01A	SEQUENZA	chr4	105686951	107932139	2245189
COAD-CM-5862-01A	SEQUENZA	chr4	158690144	159304184	614041
COAD-CM-5862-01A	SEQUENZA	chr4	159330297	163519176	4188880
COAD-CM-5862-01A	SEQUENZA	chr5	30597	34811026	34780430
COAD-CM-5862-01A	SEQUENZA	chr5	34811237	44813419	10002183
COAD-CM-5862-01A	SEQUENZA	chr5	50040032	177753011	127712980
COAD-CM-5862-01A	SEQUENZA	chr5	178055693	178288290	232598
COAD-CM-5862-01A	SEQUENZA	chr5	178288451	178585669	297219
COAD-CM-5862-01A	SEQUENZA	chr5	178618896	181260211	2641316
COAD-CM-5862-01A	SEQUENZA	chr12	165481	5807121	5641641
COAD-CM-5862-01A	SEQUENZA	chr12	6445263	6695422	250160
COAD-CM-5862-01A	SEQUENZA	chr12	6979688	9294381	2314694
COAD-CM-5862-01A	SEQUENZA	chr12	9294696	9438424	143729
COAD-CM-5862-01A	SEQUENZA	chr12	9598073	10420495	822423
COAD-CM-5862-01A	SEQUENZA	chr12	10446671	10973829	527159
COAD-CM-5862-01A	SEQUENZA	chr12	11512880	14511075	2998196
COAD-CM-5862-01A	SEQUENZA	chr12	14823931	34166822	19342892
COAD-CM-5862-01A	SEQUENZA	chr12	37418467	50205926	12787460
COAD-CM-5862-01A	SEQUENZA	chr12	50222563	50352008	129446
COAD-CM-5862-01A	SEQUENZA	chr12	50352080	53715949	3363870
COAD-CM-5862-01A	SEQUENZA	chr12	53716143	133203440	79487298
COAD-CM-5862-01A	SEQUENZA	chr14	24441910	64468215	40026306
COAD-CM-5862-01A	SEQUENZA	chr14	64468693	105582826	41114134
COAD-CM-5862-01A	SEQUENZA	chr15	42156647	42449654	293008
COAD-CM-5862-01A	SEQUENZA	chr15	58439096	59210788	771693
COAD-CM-5862-01A	SEQUENZA	chr15	63059641	63640028	580388
COAD-CM-5862-01A	SEQUENZA	chr17	1456069	14024962	12568894
COAD-CM-5862-01A	SEQUENZA	chr17	14345059	16772189	2427131
COAD-CM-5862-01A	SEQUENZA	chr17	16893377	21184358	4290982
COAD-CM-5862-01A	SEQUENZA	chr17	22045875	22436101	390227
COAD-CM-5862-01A	SEQUENZA	chr17	26981761	41060068	14078308
COAD-CM-5862-01A	SEQUENZA	chr17	41065816	41302224	236409
COAD-CM-5862-01A	SEQUENZA	chr17	41302513	64829036	23526524
COAD-CM-5862-01A	SEQUENZA	chr17	65189067	69525100	4336034
COAD-CM-5862-01A	SEQUENZA	chr17	70177590	83116514	12938925
COAD-CM-5862-01A	SEQUENZA	chr21	13384473	46652143	33267671
