Sample	seqnames	start	end	width	Tool.Result	GS.Result	OL.Ratio
TCGA-4N-A93T-01A	chr3	1	18322	18322	0	0	0
TCGA-4N-A93T-01A	chr3	18323	319825	301503	0	1	0
TCGA-4N-A93T-01A	chr3	319826	1000000	680175	1	1	0.680175
TCGA-4N-A93T-01A	chr3	1000001	2000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	2000001	3000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	3000001	4000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	4000001	5000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	5000001	6000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	6000001	7000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	7000001	8000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	8000001	9000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	9000001	10000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	10000001	11000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	11000001	12000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	12000001	13000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	13000001	14000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	14000001	15000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	15000001	16000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	16000001	17000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	17000001	18000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	18000001	19000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	19000001	20000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	20000001	21000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	21000001	22000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	22000001	23000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	23000001	24000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	24000001	25000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	25000001	26000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	26000001	27000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	27000001	28000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	28000001	29000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	29000001	30000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	30000001	31000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	31000001	32000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	32000001	33000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	33000001	34000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	34000001	35000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	35000001	36000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	36000001	37000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	37000001	38000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	38000001	39000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	39000001	40000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	40000001	41000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	41000001	42000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	42000001	43000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	43000001	44000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	44000001	45000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	45000001	46000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	46000001	47000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	47000001	48000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	48000001	49000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	49000001	50000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	50000001	51000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	51000001	52000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	52000001	53000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	53000001	54000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	54000001	55000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	55000001	56000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	56000001	57000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	57000001	58000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	58000001	59000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	59000001	60000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	60000001	61000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	61000001	62000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	62000001	63000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	63000001	64000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	64000001	65000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	65000001	66000000	1000000	1	1	1
TCGA-4N-A93T-01A	chr3	66000001	66015277	15277	1	1	0.015277
TCGA-4N-A93T-01A	chr3	66015278	66037917	22640	1	0	0.02264
TCGA-4N-A93T-01A	chr3	66037918	67000000	962083	0	0	0
TCGA-4N-A93T-01A	chr3	67000001	68000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	68000001	69000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	69000001	70000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	70000001	71000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	71000001	72000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	72000001	73000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	73000001	74000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	74000001	75000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	75000001	76000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	76000001	77000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	77000001	78000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	78000001	79000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	79000001	80000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	80000001	81000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	81000001	82000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	82000001	83000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	83000001	84000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	84000001	85000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	85000001	86000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	86000001	87000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	87000001	88000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	88000001	89000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	89000001	90000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	90000001	91000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	91000001	92000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	92000001	93000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	93000001	94000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	94000001	95000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	95000001	96000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	96000001	97000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	97000001	98000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	98000001	99000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	99000001	100000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	100000001	101000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	101000001	102000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	102000001	103000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	103000001	104000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	104000001	105000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	105000001	106000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	106000001	107000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	107000001	108000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	108000001	109000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	109000001	110000000	1000000	0	0	0
TCGA-4N-A93T-01A	chr3	110000001	111000000	1000000	0	0	0
